customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;target90
6422;2008-12-20;1;0;9;2008-12-20;0;2;0;0;58;;0;;5;3;0;1;0;0;2008-12-23;2008-12-22;1703;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
40264;2008-04-01;2;0;6;2008-04-01;1;2;2;0;58;;1;;1;2;0;1;0;1;2008-04-03;2008-04-02;971;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
48088;2008-09-12;0;0;4;2008-09-12;0;2;1;1;50;;0;;3;1;0;1;0;0;2008-09-15;2008-09-13;508;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12934;2008-05-06;1;0;6;2008-05-06;0;2;0;0;40;;0;BQ;4;2;0;1;0;0;2008-05-08;2008-05-07;926;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
30281;2008-10-02;0;0;9;2008-10-02;0;3;2;0;99;99;0;;5;2;0;1;0;0;2008-10-03;2008-10-05;267;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
54674;2008-04-02;2;0;12;2008-04-02;0;1;3;0;85;;0;BQ;3;2;0;0;0;0;2008-04-03;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
24570;2008-12-08;0;0;6;2008-12-08;0;1;0;0;58;;0;;3;1;0;0;0;1;2008-12-10;2008-12-09;818;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
44942;2008-12-20;1;0;12;2008-12-20;0;1;3;0;88;;0;;3;1;0;0;0;0;2008-12-23;2008-12-21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
38706;2008-11-18;1;0;8;2008-11-18;0;1;0;0;17;;0;;1;1;0;0;0;0;2008-11-20;2008-11-19;457;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
36886;2008-07-15;0;0;8;2008-07-15;0;1;0;0;70;;0;;2;1;0;0;0;1;2008-07-16;2008-07-15;224;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
59933;2008-10-03;0;0;1;2008-10-03;1;3;3;0;30;;0;;5;4;0;1;0;0;2008-10-17;2008-10-10;2046;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
25204;2008-10-20;0;0;1;2008-10-20;0;3;1;1;68;;0;;3;1;0;1;0;0;2008-10-22;2008-10-21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7014;2008-11-27;2;0;8;2008-11-21;0;1;0;0;15;;0;;5;1;0;0;0;0;2008-12-01;2008-11-27;555;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
4444;2008-12-30;0;0;9;2008-12-30;0;3;0;0;12;;0;;3;3;0;1;0;0;2009-01-13;2009-01-03;1162;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
60939;2008-04-13;1;0;12;2008-04-13;0;1;2;0;63;;0;;3;3;0;0;0;0;2008-04-15;2008-04-14;749;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
27592;2008-04-25;2;0;12;2008-04-25;0;3;0;0;18;;0;;4;1;0;1;0;0;2008-04-28;2008-04-25;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
46596;2008-08-30;0;0;9;2008-08-30;0;3;0;0;17;;0;;4;1;0;1;0;0;2008-09-02;2008-09-01;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12570;2008-05-17;1;0;12;2008-05-17;0;1;2;0;89;;0;;3;1;0;0;0;1;2008-05-20;2008-05-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
20912;2008-08-24;0;0;9;2008-08-24;0;1;0;0;50;;1;AP;1;1;0;0;0;0;2008-08-26;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13839;2008-12-19;1;0;4;2008-12-19;0;1;0;0;49;;0;;2;2;0;0;0;0;2008-12-22;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
29763;2008-04-21;2;0;12;2008-04-21;0;3;3;0;20;;0;;3;1;0;1;0;0;2008-05-06;2008-04-25;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
62424;2008-10-27;0;0;2;2008-10-27;0;1;2;0;42;;0;;1;1;0;0;0;0;2008-10-28;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
48937;2008-11-27;1;0;8;2008-11-27;0;1;0;0;50;;0;;4;4;0;0;0;0;2008-12-01;2008-11-28;955;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1
26122;2008-07-30;0;0;8;2008-07-30;0;1;0;0;21;;0;;3;2;0;0;0;0;2008-07-31;0000-00-00;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
20438;2008-06-11;0;1;9;2008-06-11;0;2;0;0;97;97;1;;1;2;0;1;0;0;2008-06-13;2008-06-12;1358;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
33067;2008-09-30;0;0;12;2008-09-30;0;3;0;0;73;;0;;4;2;0;1;0;0;2008-10-01;2008-09-30;633;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
1210;2008-04-23;0;0;1;2008-04-23;0;1;1;1;22;;0;CA;4;3;0;0;0;0;2008-04-24;2008-04-23;1154;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
31146;2008-12-16;1;0;2;2008-12-16;0;1;2;0;55;;0;;4;1;0;0;0;0;2008-12-18;2008-12-17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
14133;2008-11-04;2;0;12;2008-11-04;0;3;1;1;23;;0;;5;1;0;1;0;0;2008-11-06;2008-11-06;401;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
13674;2008-11-20;0;0;4;2008-11-20;0;1;0;0;07;;0;BQ;5;10;0;0;0;0;2008-11-24;2008-11-21;2726;0;0;1;9;1;0;0;0;0;0;0;0;0;0;1
3047;2008-12-15;0;0;9;2008-12-15;0;1;2;0;30;;0;;2;1;0;0;0;1;2008-12-17;2008-12-16;57;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
19213;2008-12-18;1;0;1;2008-12-18;0;3;0;0;65;15;0;;3;1;0;1;0;1;2008-12-22;2008-12-20;528;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
48607;2008-05-31;2;0;4;2008-05-31;0;1;0;0;51;;0;BQ;4;7;0;0;0;0;2008-06-16;2008-07-18;1744;0;1;0;0;0;0;0;0;0;0;0;0;6;0;1
31675;2008-06-27;0;0;9;2008-06-27;0;1;0;0;79;;0;;2;1;0;0;0;1;2008-07-01;2008-06-28;629;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
19371;2008-08-26;2;0;9;2008-08-26;0;1;0;0;57;;0;;3;1;0;0;0;0;2008-08-27;2008-08-27;259;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8572;2008-10-04;0;0;11;2008-10-04;1;3;0;0;46;;0;;5;8;0;1;0;0;2008-10-07;2008-10-06;2334;0;0;0;5;0;3;0;0;0;0;0;0;0;0;1
60406;2008-08-20;0;0;9;2008-08-20;0;3;0;0;68;;0;;5;4;0;1;0;0;2008-08-22;2008-08-21;1600;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1
55165;2008-04-09;0;0;12;2008-04-09;0;1;1;1;27;;0;;2;1;0;0;0;0;2009-04-13;2008-05-08;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
62460;2008-08-12;0;0;4;2008-08-12;0;1;1;1;10;;0;;1;1;0;0;0;0;2009-08-17;2008-08-25;146;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10436;2008-11-28;0;0;5;2008-11-28;0;1;0;0;12;;0;;3;1;0;0;0;0;2009-02-16;2009-02-13;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3352;2008-12-08;1;1;12;2008-12-08;0;2;2;0;52;;1;;5;5;0;1;0;0;2009-01-19;2009-01-16;3538;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
56871;2008-12-14;1;0;9;2008-12-14;0;1;0;0;95;;1;BD;4;2;0;0;0;0;2008-12-16;2008-12-16;487;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
34446;2008-05-22;0;0;3;2008-05-22;0;1;2;0;50;;0;;2;1;0;0;0;1;2009-05-26;2008-07-01;518;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
49159;2008-10-19;0;0;0;2008-10-19;0;2;2;0;52;;1;;2;1;0;1;0;0;2008-10-21;2008-10-20;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
46639;2008-12-18;1;0;9;2008-12-15;0;2;3;0;49;;0;;5;1;0;1;0;0;2008-12-22;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
46867;2008-05-29;2;0;9;2008-05-29;1;2;0;0;66;;1;;1;4;0;1;0;0;2008-06-02;2008-05-30;1489;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0
32918;2008-11-04;1;0;6;2008-11-04;0;3;2;0;63;;0;;4;1;0;1;0;0;2008-11-05;2008-11-04;45;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0
4989;2008-12-03;1;0;4;2008-10-20;1;1;2;0;91;;0;BD;1;1;0;0;0;0;2008-12-04;0000-00-00;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
32814;2008-06-16;0;0;12;2008-06-09;0;3;1;1;22;;0;;1;1;0;1;0;0;2008-06-18;2008-06-17;111;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
37293;2008-11-21;2;0;12;2008-11-21;0;3;3;0;24;;0;;5;2;0;1;0;0;2008-11-25;2008-11-24;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
41500;2008-12-22;1;0;9;2008-12-22;0;1;1;1;30;;0;;1;1;0;0;0;0;2008-12-24;2008-12-23;173;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14163;2008-09-20;0;0;9;2008-09-20;0;1;0;0;78;;0;;3;1;0;0;0;0;2008-09-23;2008-09-22;394;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
48312;2008-12-19;0;0;4;2008-12-19;0;1;2;0;12;;0;;2;2;0;0;0;1;2009-01-01;2008-12-29;418;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
37052;2008-10-19;1;0;9;2008-10-19;1;1;0;0;74;;0;;5;5;0;0;0;0;2008-11-04;2008-10-22;1924;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1
58534;2008-12-02;1;0;12;2008-12-02;0;1;1;1;34;;0;;4;1;0;0;0;0;2008-12-04;2008-12-04;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
65353;2008-09-10;0;0;1;2008-09-10;0;3;1;1;61;;0;;5;6;0;1;0;0;2008-09-24;2008-09-19;1025;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0
16152;2008-06-13;1;0;5;2008-06-13;0;1;0;0;40;;0;;3;1;0;0;0;0;2008-06-26;2008-06-25;740;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
19804;2008-10-28;0;0;12;2008-10-28;0;1;3;0;56;;0;;2;1;0;0;0;1;2008-10-29;2008-10-28;919;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1785;2008-12-03;1;0;12;2008-12-03;0;1;0;0;27;;0;;3;2;0;0;0;0;2008-12-05;2008-12-04;351;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
55851;2008-12-12;1;0;4;2008-12-12;0;1;0;0;34;;0;;1;2;0;0;0;1;2008-12-16;2008-12-13;497;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
14415;2008-04-20;0;0;2;2008-04-20;0;1;0;0;18;;0;;3;2;0;0;0;0;2008-04-22;2008-04-21;845;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
32800;2008-12-26;1;0;12;2008-12-26;0;1;0;0;76;;0;;3;2;0;0;0;0;2008-12-30;2008-12-27;591;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
47308;2008-12-29;1;0;9;2008-12-29;1;1;3;0;38;;0;;3;2;0;0;0;0;2008-12-31;2008-12-30;267;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
10161;2008-12-28;0;0;8;2008-12-28;0;3;1;1;26;;0;;4;2;0;1;0;0;2008-12-30;2008-12-30;900;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
324;2008-06-16;0;0;9;2008-06-16;0;3;0;0;32;;0;;2;1;0;1;0;1;2008-06-18;2008-06-17;324;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
26920;2008-10-26;1;0;4;2008-10-26;0;3;0;0;39;;0;;5;4;0;1;0;0;2008-10-28;2008-10-31;666;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1
56018;2008-05-30;1;0;12;2008-05-30;1;1;0;0;84;;0;;1;1;0;0;0;0;2008-06-02;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
40544;2008-08-25;1;0;4;2008-08-25;0;1;2;0;29;;0;AB;4;2;0;0;0;0;2008-08-27;2008-08-26;1097;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
19594;2008-05-18;0;0;9;2008-05-18;0;1;2;0;33;;0;BC;3;3;0;0;0;0;2008-05-20;2008-05-19;628;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
19302;2008-10-26;0;0;4;2008-10-26;0;1;0;0;01;;0;;4;3;0;0;0;0;2008-10-28;2008-10-28;1331;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1
15897;2008-08-10;1;0;5;2008-08-10;0;1;0;0;51;;0;;3;1;0;0;0;0;2008-08-12;2008-08-11;784;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
34115;2008-07-07;0;0;12;2008-07-07;0;1;1;1;26;;0;;5;6;0;0;0;0;2008-07-08;2008-07-08;3173;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1
58077;2008-12-30;1;0;9;2008-12-30;0;1;3;0;46;;0;BQ;1;1;0;0;0;0;2009-01-01;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21232;2008-09-05;0;0;4;2008-09-05;0;1;2;0;78;;0;;3;1;0;0;0;0;2008-09-09;2008-09-06;486;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
38213;2008-12-02;1;0;8;2008-12-02;0;1;3;0;51;;0;;3;1;0;0;0;0;2008-12-04;0000-00-00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
427;2008-04-13;2;0;4;2008-04-13;1;1;1;1;16;;0;AB;4;2;0;0;0;0;2008-04-29;2008-04-23;641;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
24195;2008-07-30;0;0;1;2008-07-30;0;3;3;0;13;;0;;4;1;0;1;0;0;2008-07-31;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
47369;2008-07-26;0;0;5;2008-07-26;0;1;2;0;80;;1;;3;2;0;0;0;0;2008-08-11;2008-07-30;631;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
26045;2008-04-24;1;0;4;2008-04-24;0;1;2;0;40;;0;;5;6;0;0;0;0;2008-04-25;0000-00-00;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1
2417;2008-07-31;1;0;12;2008-07-31;0;1;2;0;56;;0;CA;2;1;0;0;0;1;2008-08-01;2008-07-31;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
29994;2008-07-07;0;0;5;2008-07-07;0;1;0;0;24;;0;;5;3;0;0;0;0;2009-07-09;2008-12-06;1412;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
36935;2008-11-20;0;0;5;2008-11-10;1;3;3;0;65;;0;;5;16;0;1;0;0;2008-11-21;2008-11-20;5069;0;0;0;4;4;0;0;0;0;1;0;0;3;4;1
9803;2008-10-07;0;0;9;2008-10-07;0;1;0;0;10;;0;;3;3;0;0;0;0;2008-10-09;2008-10-08;1583;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1
2493;2008-11-05;0;0;4;2008-11-05;0;2;0;0;52;;1;;2;2;0;1;0;0;2008-11-07;2008-11-06;649;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
27136;2008-05-04;0;0;2;2008-05-04;0;1;0;0;52;;1;;4;2;0;0;0;0;2008-05-06;2008-05-05;1427;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8169;2008-08-05;0;0;4;2008-08-05;0;1;0;0;42;;0;;2;1;0;0;0;0;2008-08-06;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
27094;2008-04-30;0;0;8;2008-04-30;1;1;0;0;55;;1;BI;3;1;0;0;0;0;2008-05-02;2008-04-30;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
62421;2008-06-06;0;0;1;2008-06-06;1;3;1;1;89;;0;;3;2;0;1;0;0;2008-06-10;2008-06-07;579;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
58255;2008-09-06;1;0;9;2008-09-06;0;1;0;0;95;;1;;1;1;0;0;0;0;2008-09-09;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
467;2008-04-07;0;0;8;2008-04-07;1;2;0;0;46;;0;;3;1;0;1;0;0;2008-04-09;2008-04-08;590;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12796;2008-07-09;0;0;4;2008-07-09;0;1;2;0;26;;1;BQ;4;5;0;0;0;0;2008-07-10;2008-07-09;1485;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
15463;2008-11-13;1;0;9;2008-11-13;0;1;1;1;86;;0;BT;3;2;0;0;0;0;2008-11-14;2008-11-13;405;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
58021;2008-12-14;1;0;9;2008-12-14;0;1;2;0;02;;0;;4;1;0;0;0;0;2008-12-16;2008-12-16;789;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31150;2008-12-03;0;0;9;2008-12-03;1;3;0;0;29;;0;;5;4;0;1;0;0;2008-12-05;2008-12-04;2544;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
34829;2008-07-07;0;0;6;2008-07-07;1;1;0;0;56;;1;;3;5;0;0;0;0;2008-07-09;2008-07-08;1816;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0
62027;2008-05-19;0;0;9;2008-05-19;0;2;0;0;50;;1;;1;3;0;1;0;0;2008-05-21;2008-05-20;1316;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
48713;2008-11-25;1;0;12;2008-11-25;0;2;0;0;56;;1;;1;1;0;1;0;0;2008-11-27;2008-11-26;986;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32639;2008-10-09;1;0;9;2008-10-09;0;3;2;0;26;;0;;3;1;0;1;0;1;2008-10-10;2008-10-10;585;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16454;2008-10-21;0;0;5;2008-10-21;0;1;2;0;24;;0;;3;1;0;0;0;0;2008-11-04;2008-11-12;902;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27755;2008-04-02;1;0;8;2008-04-02;0;1;0;0;66;;0;AB;3;2;0;0;0;0;2008-05-02;2008-04-03;812;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
48192;2008-05-28;1;0;2;2008-05-28;0;1;3;0;63;;1;BD;4;3;0;0;0;0;2008-05-30;0000-00-00;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
13092;2008-08-06;2;0;4;2008-08-06;1;1;2;0;95;;0;;4;4;0;0;0;0;2008-08-07;0000-00-00;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
59291;2008-09-19;0;0;2;2008-09-17;1;3;1;1;14;;0;;1;1;0;1;0;0;2008-09-23;2008-09-20;741;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
33905;2008-06-17;1;0;4;2008-06-17;1;1;2;0;88;70;0;;3;1;0;0;0;0;2008-06-18;2008-06-17;645;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
17569;2008-08-15;0;0;12;2008-08-15;1;2;0;0;45;;0;;4;2;0;1;0;0;2008-08-18;2008-08-16;581;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
33265;2008-11-08;1;0;8;2008-11-08;0;1;3;0;14;;0;AE;2;1;0;0;0;1;2008-11-24;2008-11-12;251;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
56054;2008-07-16;1;0;8;2008-07-16;0;3;0;0;30;;0;;5;13;0;1;0;0;2008-07-30;2008-07-19;4120;0;0;0;1;0;12;0;0;0;0;0;0;0;0;0
29062;2008-04-10;1;0;9;2008-04-10;0;3;1;1;30;;0;;1;1;0;1;0;0;2008-04-11;2008-04-11;150;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
52860;2008-09-08;1;0;8;2008-09-08;0;1;1;1;38;;0;;1;1;0;0;0;0;2008-09-09;2008-09-09;437;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
32316;2008-11-13;1;0;1;2008-11-13;1;1;1;1;41;;0;;1;1;0;0;0;0;2008-11-14;2008-11-13;540;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
45737;2008-12-17;0;0;12;2008-12-17;1;3;1;1;23;;0;;2;4;0;1;0;0;2008-12-31;2008-12-19;316;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
44035;2008-09-25;2;0;12;2008-09-25;0;1;0;0;33;;0;CA;4;1;0;0;0;0;2009-09-29;2009-07-02;665;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
17700;2008-11-21;1;0;12;2008-11-21;0;1;3;0;81;;0;;2;3;0;0;0;0;2008-11-24;0000-00-00;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
54967;2008-12-04;0;0;4;2008-12-04;0;2;1;1;40;;0;;1;1;0;1;0;0;2008-12-05;2008-12-05;140;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
34467;2008-08-09;1;0;8;2008-08-09;0;1;2;0;78;;0;;1;1;0;0;0;0;2008-08-12;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
26430;2008-05-13;0;0;4;2008-05-13;0;1;3;0;53;;0;;2;2;0;0;0;0;2008-05-15;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
21795;2008-07-07;1;0;5;2008-07-07;0;1;3;0;49;;0;;4;2;0;0;0;0;2008-07-09;2008-07-08;927;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
46913;2008-06-28;0;0;9;2008-06-28;0;1;3;0;65;;0;;2;2;0;0;0;0;2008-07-01;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
63327;2008-04-16;0;0;4;2008-04-16;0;1;0;0;81;;0;;2;1;0;0;0;1;2008-04-18;2008-04-17;592;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
49992;2008-12-18;1;0;4;2008-12-18;0;1;0;0;33;;0;;4;1;0;0;0;0;2008-12-22;2008-12-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
48366;2008-11-18;1;0;9;2008-08-11;0;1;0;0;41;;0;;2;1;0;1;0;1;2008-11-19;2008-11-18;217;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
22320;2008-05-04;1;0;4;2008-05-04;0;1;2;0;78;;0;;2;1;0;0;0;0;2008-05-06;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
23708;2008-07-23;0;0;4;2008-07-23;0;3;2;0;90;;0;;4;8;0;1;0;0;2008-07-24;0000-00-00;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1
1042;2008-12-16;0;0;8;2008-12-16;1;3;1;1;91;;0;;3;2;0;1;0;0;2008-12-17;2008-12-17;762;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
25732;2008-04-01;0;0;12;2008-04-01;0;1;3;0;60;;0;;5;2;0;0;0;0;2008-04-02;2008-04-01;1477;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
35301;2008-12-24;0;0;8;2008-12-24;1;2;0;0;41;;1;;4;1;0;1;0;0;2008-12-26;2008-12-27;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6892;2008-06-02;1;0;12;2008-06-02;0;1;3;0;24;;0;;2;1;0;0;0;1;2008-07-01;2008-06-10;636;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
48307;2008-08-19;0;0;5;2008-08-19;0;1;1;1;25;;0;;1;1;0;0;0;0;2008-08-21;2008-08-20;308;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
11867;2008-09-28;0;0;9;2008-09-28;0;1;2;0;12;;0;BQ;3;2;0;0;0;0;2008-09-30;2008-09-29;529;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
2327;2008-08-06;0;0;5;2008-08-06;0;1;0;0;51;;0;;3;2;0;0;0;0;2008-08-07;2008-08-06;924;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
36907;2008-05-08;0;0;8;2008-05-08;0;1;0;0;90;;1;BT;4;2;0;0;0;0;2008-05-13;2008-05-09;1156;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
45551;2008-12-22;0;0;6;2008-12-22;0;1;1;1;13;;0;;4;2;0;0;0;0;2008-12-23;2009-02-07;1262;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
60637;2008-10-11;0;0;9;2008-10-11;0;2;2;0;03;;1;;1;3;0;1;0;0;2008-10-14;2008-10-13;1244;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
